Date ID,Date (YYYY/MM/DD),Brisbane Average Temperature,Brisbane Gladstone Temperature,Brisbane PM10 Daily Average,Gladstone PM10 Daily Average,Brisbane PM2.5 Daily Average,Gladstone PM2.5 Daily Average,Brisbane NO2 Daily Average,Gladstone NO2 Daily Average,Brisbane CO Daily Average,Gladstone O3 Daily Average,Gladstone SO2 Daily Average,PM10 Safety Levels Brisbane,PM10 Safety Levels Gladstone,PM2.5 Safety Levels Brisbane,PM2.5 Safety Levels Gladstone,NO2 Safety Levels Brisbane,NO2 Safety Levels Gladstone,CO Safety Levels Brisbane,O3 Safety Levels Gladstone,SO2 Safety Levels Gladstone
1,2022-01-01,22.325000127156574,25.483333190282185,14.470833460489908,11.262500087420145,5.916666706403096,3.9249999672174454,0.0074166666793947416,0.0012083333858754486,0.12583333269382516,0.010708333225920796,0.001041666687039348,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
2,2022-01-02,23.612500111262005,24.891666809717815,13.533333341280619,9.070833325386047,5.070833335320155,4.7833333713933825,0.0059583334271640824,0.001708333395072259,0.10374999977648258,0.01791666680946946,0.0004166666864572714,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
3,2022-01-03,25.599999745686848,27.012499968210857,11.387500047683716,12.616666535536448,4.03750001390775,5.758333300550778,0.0034583334296864146,0.00491666669161835,0.08458333260690172,0.02120833337539807,0.00404166668401255,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
4,2022-01-04,26.8166667620341,27.583333253860474,8.558333396911621,15.87500007947286,2.516666683057944,8.454166700442633,0.00487500000357007,0.0037083333930543936,0.10291666630655527,0.023541666683740914,0.0011666666832752526,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
5,2022-01-05,25.90000009536743,27.504166682561237,13.033333341280619,8.645833253860474,5.033333331346512,4.90416665871938,0.005875000075320713,0.0027500000627090535,0.1066666681629916,0.014458333452542623,0.0002083333432286357,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
6,2022-01-06,25.958333412806194,27.74999992052714,22.049999912579853,8.079166601101557,8.941666642824808,5.004166627923648,0.0038333333698877445,0.003500000098332142,0.08250000009623666,0.013125000046178078,0.0011250000146295254,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
7,2022-01-07,25.854166746139526,27.950000127156574,32.90000009536743,9.47083330154419,12.958333214124044,5.050000000124176,0.0012916667134656261,0.005083333400155728,0.062083333653087415,0.010041666663407037,0.001875000064804529,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
8,2022-01-08,25.395833492279053,28.14999993642171,25.645833412806194,12.395833333333334,10.349999944368998,5.9124999940395355,0.00441666677458367,0.0012916667280175413,0.09999999970508118,0.011249999981373549,0,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
9,2022-01-09,26.445833444595337,27.166666666666668,22.37083347638448,12.358333309491476,9.133333365122477,4.187499995032947,0.0027083333989139646,0.0015416667301906273,0.07083333330228925,0.007875000165464977,0.0007083333330228925,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
10,2022-01-10,25.866666793823242,26.212500015894573,21.662500023841858,15.491666595141092,8.675000111262003,5.708333298563957,0.006000000061855341,0.0019166667480021715,0.11291666654869914,0.0086249999779587,0.0037500000714013972,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
11,2022-01-11,25.270833253860474,24.900000015894573,19.400000015894573,11.033333291610083,7.35833336909612,3.7416666507100067,0.005875000065619436,0.0021666667259220653,0.09874999957780044,0.007916666625533253,0.0032499999651918188,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
12,2022-01-12,24.595833381017048,25.12499976158142,17.554166436195374,14.166666547457377,6.200000007947286,4.18333334972461,0.008583333420877656,0.0022500000632135198,0.1250000006208817,0.010041666682809591,0.0019166666800932337,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
13,2022-01-13,25.03749990463257,25.495833158493042,16.21666665871938,15.583333353201548,5.454166690508525,4.458333323399226,0.00791666672254602,0.001541666725339989,0.12208333270003398,0.010500000052464506,0.0011250000049282487,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
14,2022-01-14,24.958333094914753,25.43333339691162,17.270833333333332,14.854166706403097,6.241666654745738,3.9833333771675825,0.00808333333892127,0.002000000065891072,0.13541666666666666,0.010416666666666666,0.001375000011951973,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
15,2022-01-15,26.0041667620341,26.354166746139526,16.983333349227905,9.854166646798452,6.725000003973643,4.250000026077032,0.005041666678152978,0.001916666728599618,0.10875000059604645,0.009624999947845936,0.0005833333561895415,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
16,2022-01-16,26.204166730244953,27.233333269755047,13.837500055631002,9.708333233992258,5.11666664481163,4.270833358168602,0.0040833333575089155,0.0016250000529301663,0.09124999959021807,0.010374999915560087,0,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
17,2022-01-17,27.449999968210857,27.541666905085247,18.087500015894573,9.883333345254263,6.387500087420146,4.358333334326744,0.006416666758013889,0.00162500007233272,0.09333333225610356,0.011249999942568442,0,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe
